DriverCode,Grand Prix,Year,Pos,FinPos
MAN,Australia,1994,1,1
MSC,Australia,1994,2,NC
HIL,Australia,1994,3,NC
HAK,Australia,1994,4,12
BAR,Australia,1994,5,4
IRV,Australia,1994,6,NC
HER,Australia,1994,7,NC
ALE,Australia,1994,8,6
BRU,Australia,1994,9,3
FRE,Australia,1994,10,7
BER,Australia,1994,11,2
PAN,Australia,1994,12,5
BLU,Australia,1994,13,NC
ZAN,Australia,1994,14,NC
KAT,Australia,1994,15,NC
ALB,Australia,1994,16,NC
JAR,Australia,1994,17,10
MAR,Australia,1994,18,9
FIT,Australia,1994,19,8
LAG,Australia,1994,20,11
MOR,Australia,1994,21,NC
SAL,Australia,1994,22,NC
NOD,Australia,1994,23,NC
BRA,Australia,1994,24,NC
DEL,Australia,1994,25,NC
SCH,Australia,1994,26,NC
BAR,Belgium,1994,1,NC
HIL,Belgium,1994,3,1
IRV,Belgium,1994,4,13
ALE,Belgium,1994,5,NC
VER,Belgium,1994,6,3
COU,Belgium,1994,7,4
HAK,Belgium,1994,8,2
FRE,Belgium,1994,9,NC
MAR,Belgium,1994,10,8
BER,Belgium,1994,11,10
BER,Belgium,1994,11,NC
BLU,Belgium,1994,12,5
BRU,Belgium,1994,13,NC
MOR,Belgium,1994,14,6
DEC,Belgium,1994,15,NC
BER,Belgium,1994,16,10
BER,Belgium,1994,16,NC
PAN,Belgium,1994,17,7
ALB,Belgium,1994,18,9
ALL,Belgium,1994,19,NC
HER,Belgium,1994,20,12
BRA,Belgium,1994,21,NC
COM,Belgium,1994,22,NC
KAT,Belgium,1994,23,NC
FIT,Belgium,1994,24,NC
GOU,Belgium,1994,25,11
ADA,Belgium,1994,26,NC
SEN,Brazil,1994,1,13
MSC,Brazil,1994,2,1
ALE,Brazil,1994,3,3
HIL,Brazil,1994,4,2
FRE,Brazil,1994,5,NC
MOR,Brazil,1994,6,NC
WEN,Brazil,1994,7,6
HAK,Brazil,1994,8,NC
VER,Brazil,1994,9,NC
KAT,Brazil,1994,10,5
FIT,Brazil,1994,11,NC
BLU,Brazil,1994,12,NC
COM,Brazil,1994,13,9
BAR,Brazil,1994,14,4
MAR,Brazil,1994,15,8
IRV,Brazil,1994,16,NC
BER,Brazil,1994,17,NC
BER,Brazil,1994,17,NC
BER,Brazil,1994,17,NC
BRU,Brazil,1994,18,NC
PAN,Brazil,1994,19,11
BER,Brazil,1994,20,NC
BER,Brazil,1994,20,NC
BER,Brazil,1994,20,NC
HER,Brazil,1994,21,7
ALB,Brazil,1994,22,NC
BER,Brazil,1994,23,NC
BER,Brazil,1994,23,NC
BER,Brazil,1994,23,NC
LAM,Brazil,1994,24,10
GAC,Brazil,1994,25,NC
BRA,Brazil,1994,26,12
MSC,Canada,1994,1,1
ALE,Canada,1994,2,3
BER,Canada,1994,3,4
BER,Canada,1994,3,13
BER,Canada,1994,3,NC
HIL,Canada,1994,4,2
COU,Canada,1994,5,5
BAR,Canada,1994,6,7
HAK,Canada,1994,7,NC
IRV,Canada,1994,8,NC
KAT,Canada,1994,9,NC
FRE,Canada,1994,10,NC
MOR,Canada,1994,11,NC
BRU,Canada,1994,12,NC
BLU,Canada,1994,13,10
DEC,Canada,1994,14,NC
MAR,Canada,1994,15,9
HER,Canada,1994,17,8
ALB,Canada,1994,18,11
PAN,Canada,1994,19,12
JAR,Canada,1994,20,6
COM,Canada,1994,21,NC
BER,Canada,1994,22,4
BER,Canada,1994,22,13
BER,Canada,1994,22,NC
ZAN,Canada,1994,23,15
BER,Canada,1994,24,4
BER,Canada,1994,24,13
BER,Canada,1994,24,NC
BRA,Canada,1994,25,14
GAC,Canada,1994,26,NC
MSC,Europe,1994,1,1
HIL,Europe,1994,2,2
MAN,Europe,1994,3,NC
FRE,Europe,1994,4,6
BAR,Europe,1994,5,12
BER,Europe,1994,6,5
BER,Europe,1994,6,18
HER,Europe,1994,7,8
MOR,Europe,1994,8,11
HAK,Europe,1994,9,3
IRV,Europe,1994,10,4
PAN,Europe,1994,11,9
VER,Europe,1994,12,NC
KAT,Europe,1994,13,7
BLU,Europe,1994,14,13
BRU,Europe,1994,15,NC
ALE,Europe,1994,16,10
MAR,Europe,1994,17,15
DEC,Europe,1994,18,NC
FIT,Europe,1994,19,17
ALB,Europe,1994,20,14
ZAN,Europe,1994,21,16
BER,Europe,1994,22,5
BER,Europe,1994,22,18
COM,Europe,1994,23,NC
NOD,Europe,1994,24,NC
BRA,Europe,1994,25,NC
SCH,Europe,1994,26,19
HIL,France,1994,1,2
MAN,France,1994,2,NC
MSC,France,1994,3,1
ALE,France,1994,4,NC
BER,France,1994,5,3
BER,France,1994,5,NC
BER,France,1994,5,NC
IRV,France,1994,6,NC
BAR,France,1994,7,NC
VER,France,1994,8,NC
HAK,France,1994,9,NC
FRE,France,1994,10,4
DEC,France,1994,11,6
BRU,France,1994,12,NC
PAN,France,1994,13,NC
KAT,France,1994,14,NC
BER,France,1994,15,3
BER,France,1994,15,NC
BER,France,1994,15,NC
MAR,France,1994,16,5
